Starting sequence Wed Mar 20 12:16:53 2024
_seqline	_dataname$	_alsbottle	_alsbottle2	_methpath$	_methfile$	_datapath$	Sdatafile$	_runtype$	_levelid$	_multiplr	_miscinfo$	_sampamt	_injvol	_injvol2	_expbarcode$	_expbarcode2$	_pretreatpath$	_pretreatfile$	_traypicked	_balanceoverride	_damethodpathname$	_damethodfilename$	_dareportpath$	_sampleinformation$	_istdamt	_keyword$	_keywordstring$	_matrixspikegroup$	_samplegroup$	_samplingdatetime	_samplingtime	_totalsampleamount	
17	ACE-Blank2	41	0	D:\MassHunter\GCMS\Adam\Methods\	Test.M	D:\MassHunter\GCMS\Adam\Data\20240304-Plastic_solvents\2-Day Exposure\	ACE-Blank2.D	Sample		1		0	0	0			D:\MassHunter\GCMS\1\PreTreat\			0					0						0	0	
18	ACE-TPU	42	0	D:\MassHunter\GCMS\Adam\Methods\	Test.M	D:\MassHunter\GCMS\Adam\Data\20240304-Plastic_solvents\2-Day Exposure\	ACE-TPU.D	Sample		1		0	0	0			D:\MassHunter\GCMS\1\PreTreat\			0					0						0	0	
19	ACE-PEEK	43	0	D:\MassHunter\GCMS\Adam\Methods\	Test.M	D:\MassHunter\GCMS\Adam\Data\20240304-Plastic_solvents\2-Day Exposure\	ACE-PEEK.D	Sample		1		0	0	0			D:\MassHunter\GCMS\1\PreTreat\			0					0						0	0	
20	ACE-End-Blank2	41	0	D:\MassHunter\GCMS\Adam\Methods\	Test.M	D:\MassHunter\GCMS\Adam\Data\20240304-Plastic_solvents\2-Day Exposure\	ACE-End-Blank2.D	Sample		1		0	0	0			D:\MassHunter\GCMS\1\PreTreat\			0					0						0	0	
21	EA-Blank2	51	0	D:\MassHunter\GCMS\Adam\Methods\	Test.M	D:\MassHunter\GCMS\Adam\Data\20240304-Plastic_solvents\2-Day Exposure\	EA-Blank2.D	Sample		1		0	0	0			D:\MassHunter\GCMS\1\PreTreat\			0					0						0	0	
22	EA-TPU	52	0	D:\MassHunter\GCMS\Adam\Methods\	Test.M	D:\MassHunter\GCMS\Adam\Data\20240304-Plastic_solvents\2-Day Exposure\	EA-TPU.D	Sample		1		0	0	0			D:\MassHunter\GCMS\1\PreTreat\			0					0						0	0	
23	EA-PEEK	53	0	D:\MassHunter\GCMS\Adam\Methods\	Test.M	D:\MassHunter\GCMS\Adam\Data\20240304-Plastic_solvents\2-Day Exposure\	EA-PEEK.D	Sample		1		0	0	0			D:\MassHunter\GCMS\1\PreTreat\			0					0						0	0	
24	EA-End-Blank2	51	0	D:\MassHunter\GCMS\Adam\Methods\	Test.M	D:\MassHunter\GCMS\Adam\Data\20240304-Plastic_solvents\2-Day Exposure\	EA-End-Blank2.D	Sample		1		0	0	0			D:\MassHunter\GCMS\1\PreTreat\			0					0						0	0	
25	TOL-Blank2	61	0	D:\MassHunter\GCMS\Adam\Methods\	Test.M	D:\MassHunter\GCMS\Adam\Data\20240304-Plastic_solvents\2-Day Exposure\	TOL-Blank2.D	Sample		1		0	0	0			D:\MassHunter\GCMS\1\PreTreat\			0					0						0	0	
26	TOL-TPU	62	0	D:\MassHunter\GCMS\Adam\Methods\	Test.M	D:\MassHunter\GCMS\Adam\Data\20240304-Plastic_solvents\2-Day Exposure\	TOL-TPU.D	Sample		1		0	0	0			D:\MassHunter\GCMS\1\PreTreat\			0					0						0	0	
27	TOL-PEEK	63	0	D:\MassHunter\GCMS\Adam\Methods\	Test.M	D:\MassHunter\GCMS\Adam\Data\20240304-Plastic_solvents\2-Day Exposure\	TOL-PEEK.D	Sample		1		0	0	0			D:\MassHunter\GCMS\1\PreTreat\			0					0						0	0	
28	TOL-End-Blank2	61	0	D:\MassHunter\GCMS\Adam\Methods\	Test.M	D:\MassHunter\GCMS\Adam\Data\20240304-Plastic_solvents\2-Day Exposure\	TOL-End-Blank2.D	Sample		1		0	0	0			D:\MassHunter\GCMS\1\PreTreat\			0					0						0	0	
29	END-MEOH2	11	0	D:\MassHunter\GCMS\Adam\Methods\	Test.M	D:\MassHunter\GCMS\Adam\Data\20240304-Plastic_solvents\2-Day Exposure\	END-MEOH2.D	Sample		1		0	0	0			D:\MassHunter\GCMS\1\PreTreat\			0					0						0	0	
