Starting sequence Mon Mar 04 18:14:38 2024
_seqline	_dataname$	_alsbottle	_alsbottle2	_methpath$	_methfile$	_datapath$	Sdatafile$	_runtype$	_levelid$	_multiplr	_miscinfo$	_sampamt	_injvol	_injvol2	_expbarcode$	_expbarcode2$	_pretreatpath$	_pretreatfile$	_traypicked	_balanceoverride	_damethodpathname$	_damethodfilename$	_dareportpath$	_sampleinformation$	_istdamt	_keyword$	_keywordstring$	_matrixspikegroup$	_samplegroup$	_samplingdatetime	_samplingtime	_totalsampleamount	
27	TCM-Blank	31	0	D:\MassHunter\GCMS\Adam\Methods\	Test.M	D:\MassHunter\GCMS\Adam\Data\20240304-Plastic_solvents\2-Hour Exposure\	TCM-Blank.D	Sample		1		0	0	0			D:\MassHunter\GCMS\1\PreTreat\			0					0						0	0	
28	TCM-SLA	32	0	D:\MassHunter\GCMS\Adam\Methods\	Test.M	D:\MassHunter\GCMS\Adam\Data\20240304-Plastic_solvents\2-Hour Exposure\	TCM-SLA.D	Sample		1		0	0	0			D:\MassHunter\GCMS\1\PreTreat\			0					0						0	0	
29	TCM-PA	33	0	D:\MassHunter\GCMS\Adam\Methods\	Test.M	D:\MassHunter\GCMS\Adam\Data\20240304-Plastic_solvents\2-Hour Exposure\	TCM-PA.D	Sample		1		0	0	0			D:\MassHunter\GCMS\1\PreTreat\			0					0						0	0	
30	TCM-PP	34	0	D:\MassHunter\GCMS\Adam\Methods\	Test.M	D:\MassHunter\GCMS\Adam\Data\20240304-Plastic_solvents\2-Hour Exposure\	TCM-PP.D	Sample		1		0	0	0			D:\MassHunter\GCMS\1\PreTreat\			0					0						0	0	
31	TCM-End-Blank	31	0	D:\MassHunter\GCMS\Adam\Methods\	Test.M	D:\MassHunter\GCMS\Adam\Data\20240304-Plastic_solvents\2-Hour Exposure\	TCM-End-Blank.D	Sample		1		0	0	0			D:\MassHunter\GCMS\1\PreTreat\			0					0						0	0	
32	ACE-Blank	41	0	D:\MassHunter\GCMS\Adam\Methods\	Test.M	D:\MassHunter\GCMS\Adam\Data\20240304-Plastic_solvents\2-Hour Exposure\	ACE-Blank.D	Sample		1		0	0	0			D:\MassHunter\GCMS\1\PreTreat\			0					0						0	0	
33	ACE-SLA	42	0	D:\MassHunter\GCMS\Adam\Methods\	Test.M	D:\MassHunter\GCMS\Adam\Data\20240304-Plastic_solvents\2-Hour Exposure\	ACE-SLA.D	Sample		1		0	0	0			D:\MassHunter\GCMS\1\PreTreat\			0					0						0	0	
34	ACE-PA	43	0	D:\MassHunter\GCMS\Adam\Methods\	Test.M	D:\MassHunter\GCMS\Adam\Data\20240304-Plastic_solvents\2-Hour Exposure\	ACE-PA.D	Sample		1		0	0	0			D:\MassHunter\GCMS\1\PreTreat\			0					0						0	0	
35	ACE-PP	44	0	D:\MassHunter\GCMS\Adam\Methods\	Test.M	D:\MassHunter\GCMS\Adam\Data\20240304-Plastic_solvents\2-Hour Exposure\	ACE-PP.D	Sample		1		0	0	0			D:\MassHunter\GCMS\1\PreTreat\			0					0						0	0	
36	ACE-PET	46	0	D:\MassHunter\GCMS\Adam\Methods\	Test.M	D:\MassHunter\GCMS\Adam\Data\20240304-Plastic_solvents\2-Hour Exposure\	ACE-PET.D	Sample		1		0	0	0			D:\MassHunter\GCMS\1\PreTreat\			0					0						0	0	
37	ACE-End-Blank	41	0	D:\MassHunter\GCMS\Adam\Methods\	Test.M	D:\MassHunter\GCMS\Adam\Data\20240304-Plastic_solvents\2-Hour Exposure\	ACE-End-Blank.D	Sample		1		0	0	0			D:\MassHunter\GCMS\1\PreTreat\			0					0						0	0	
38	EA-Blank	51	0	D:\MassHunter\GCMS\Adam\Methods\	Test.M	D:\MassHunter\GCMS\Adam\Data\20240304-Plastic_solvents\2-Hour Exposure\	EA-Blank.D	Sample		1		0	0	0			D:\MassHunter\GCMS\1\PreTreat\			0					0						0	0	
39	EA-SLA	52	0	D:\MassHunter\GCMS\Adam\Methods\	Test.M	D:\MassHunter\GCMS\Adam\Data\20240304-Plastic_solvents\2-Hour Exposure\	EA-SLA.D	Sample		1		0	0	0			D:\MassHunter\GCMS\1\PreTreat\			0					0						0	0	
40	EA-PA	53	0	D:\MassHunter\GCMS\Adam\Methods\	Test.M	D:\MassHunter\GCMS\Adam\Data\20240304-Plastic_solvents\2-Hour Exposure\	EA-PA.D	Sample		1		0	0	0			D:\MassHunter\GCMS\1\PreTreat\			0					0						0	0	
41	EA-PP	54	0	D:\MassHunter\GCMS\Adam\Methods\	Test.M	D:\MassHunter\GCMS\Adam\Data\20240304-Plastic_solvents\2-Hour Exposure\	EA-PP.D	Sample		1		0	0	0			D:\MassHunter\GCMS\1\PreTreat\			0					0						0	0	
42	EA-PET	56	0	D:\MassHunter\GCMS\Adam\Methods\	Test.M	D:\MassHunter\GCMS\Adam\Data\20240304-Plastic_solvents\2-Hour Exposure\	EA-PET.D	Sample		1		0	0	0			D:\MassHunter\GCMS\1\PreTreat\			0					0						0	0	
43	EA-PLA	58	0	D:\MassHunter\GCMS\Adam\Methods\	Test.M	D:\MassHunter\GCMS\Adam\Data\20240304-Plastic_solvents\2-Hour Exposure\	EA-PLA.D	Sample		1		0	0	0			D:\MassHunter\GCMS\1\PreTreat\			0					0						0	0	
44	EA-End-Blank	51	0	D:\MassHunter\GCMS\Adam\Methods\	Test.M	D:\MassHunter\GCMS\Adam\Data\20240304-Plastic_solvents\2-Hour Exposure\	EA-End-Blank.D	Sample		1		0	0	0			D:\MassHunter\GCMS\1\PreTreat\			0					0						0	0	
45	TOL-Blank	61	0	D:\MassHunter\GCMS\Adam\Methods\	Test.M	D:\MassHunter\GCMS\Adam\Data\20240304-Plastic_solvents\2-Hour Exposure\	TOL-Blank.D	Sample		1		0	0	0			D:\MassHunter\GCMS\1\PreTreat\			0					0						0	0	
46	TOL-SLA	62	0	D:\MassHunter\GCMS\Adam\Methods\	Test.M	D:\MassHunter\GCMS\Adam\Data\20240304-Plastic_solvents\2-Hour Exposure\	TOL-SLA.D	Sample		1		0	0	0			D:\MassHunter\GCMS\1\PreTreat\			0					0						0	0	
47	TOL-PA	63	0	D:\MassHunter\GCMS\Adam\Methods\	Test.M	D:\MassHunter\GCMS\Adam\Data\20240304-Plastic_solvents\2-Hour Exposure\	TOL-PA.D	Sample		1		0	0	0			D:\MassHunter\GCMS\1\PreTreat\			0					0						0	0	
48	TOL-PP	64	0	D:\MassHunter\GCMS\Adam\Methods\	Test.M	D:\MassHunter\GCMS\Adam\Data\20240304-Plastic_solvents\2-Hour Exposure\	TOL-PP.D	Sample		1		0	0	0			D:\MassHunter\GCMS\1\PreTreat\			0					0						0	0	
49	TOL-PET	66	0	D:\MassHunter\GCMS\Adam\Methods\	Test.M	D:\MassHunter\GCMS\Adam\Data\20240304-Plastic_solvents\2-Hour Exposure\	TOL-PET.D	Sample		1		0	0	0			D:\MassHunter\GCMS\1\PreTreat\			0					0						0	0	
50	TOL-PLA	68	0	D:\MassHunter\GCMS\Adam\Methods\	Test.M	D:\MassHunter\GCMS\Adam\Data\20240304-Plastic_solvents\2-Hour Exposure\	TOL-PLA.D	Sample		1		0	0	0			D:\MassHunter\GCMS\1\PreTreat\			0					0						0	0	
51	TOL-End-Blank	61	0	D:\MassHunter\GCMS\Adam\Methods\	Test.M	D:\MassHunter\GCMS\Adam\Data\20240304-Plastic_solvents\2-Hour Exposure\	TOL-End-Blank.D	Sample		1		0	0	0			D:\MassHunter\GCMS\1\PreTreat\			0					0						0	0	
52	END-MEOH	11	0	D:\MassHunter\GCMS\Adam\Methods\	Test.M	D:\MassHunter\GCMS\Adam\Data\20240304-Plastic_solvents\2-Hour Exposure\	END-MEOH.D	Sample		1		0	0	0			D:\MassHunter\GCMS\1\PreTreat\			0					0						0	0	
